479,"",Illustrated Book On Greek Mythology
480,Marguerite Steen,The Sun Is My Undoing
481,Jane Austen,Collected Novels
482,"",Notebook And Pencil
483,Marguerite Yourcenar,Hadrian's Memoirs
484,"",Who's Who
485,"",Anthology Of World Poetry
486,Konstantin Paustovsky,The Telegram
487,Konstantin Paustovsky,A Story Of Life
488,"",Manual Of Astronomy Plus A Bookmark With A Photograph Of Michelangelo's Pieta
489,Macneill Dixon,The Human Situation
490,"",Personal Anthology Of Poetry
491,"",Book With Blank Pages And A Pen
492,"",Biography Of Bette Davis
493,Laozi,A Way Of Life
494,Gerald Durrell,My Family And Other Animals
495,Ian Fleming,James Bond Novels
496,Herbert Tarr,The Conversion Of Charlie Cohen
497,"",Atlas
498,"",Vaughan Haddock's Book Of Modern Verse
499,Ralph Waldo Emerson,Essays
500,"",English Dictionary
501,"",Reproductions Of Her Favourite Pictures
502,John Galsworthy,The Forsyte Saga
503,Oscar Wilde,The Happy Prince And Other Tales
504,"",Compilation Of Works Of Philosophy
505,"",Book On Mathematics
506,Johann Wolfgang Goethe,Plays
507,Sir Winston Churchill,History Of The English Speaking Peoples
508,Ogden Nash,Poems
509,John Osborne,Collected Plays
510,Billy Wright,Book Of Soccer
511,Hendrik Van Loon,The Story Of Mankind
512,H G Wells,The Science Of Life
513,Sheridan,The Plays
514,"",Book Of Common Prayer
515,J.d. Salinger,The Catcher In The Rye
516,Norman Collins,London Belongs To Me
517,John Milton,Paradise Lost
518,Leo Tolstoy,What Then Must We Do
519,Otto Goldschmidt,Memoirs Of Jenny Lind
520,"",The Week-end Book
521,Fougasse,Drawings
522,Kenneth Grahame,The Wind In The Willows
523,Jean Racine,Plays
524,James Frazer,The Golden Bough
525,"",Her Husband's Handwritten Limericks
526,Johann Wolfgang Goethe,A Philosophical Work
527,"",French Cookery Book
528,W. Somerset Maugham,A Novel
529,Eartha Kitt,Autobiography
530,"",Large Book Of Short Stories
531,Talbot Baines,Fifth Form Of St Dominic's
532,"",Bible
533,Gustave Flaubert,Madam Bovary
534,"",Mediterranean Cookbook
535,Dr Thor Heyerdahl,Kontiki
536,Thomas A Kempis,Imitation Of Christ
537,Kurt Vonnegut,Slaughterhouse-five
538,Jack Kerouac,On The Road
539,Sholem Aleichem,Complete Works
540,Emile Zola,Germinal
541,Pauline Prescott,Smile Though Your Heart Is Breaking
542,"",A Guide To Learning The Piano
543,W B Lord,Shifts And Expedients Of Camp Life
544,William Barry Lord,Shifts And Expedients Of Camp Life
545,"",Tang Shi Sanbai Shou (three Hundred Tang Poems)
546,"",A Big Atlas
547,P G Wodehouse,The Collected Works
548,P G Wodehouse,His Favourite Book
549,John David Jackson,Classical Electrodynamics
550,Anthony Trollope,The Complete Works
551,"",The Talmud
552,Robert Hardy Matthew Strickland,The Great Warbow
553,"",French Dictionary
554,Wole Soyinka,The Complete Works
555,Sir Arthur Conan Doyle,Complete Sherlock Holmes
556,"",The Biggest Possible Encyclopedia
557,"",Thesaurus
558,"",A Photographic Album With Pictures Of His Family
559,Spike Milligan,Puckoon
560,S J Perelman,The Most Of S.j.perelman
561,Woody Allen,The Complete Prose Woody Allen By
562,Saki,The Complete Works Of Saki
563,"",A Tropical Recipe Book
564,Cormac Mccarthy,All The Pretty Horses
565,August Wilson,The Complete Works Of August Wilson
566,Andy Ripley,Ripley's World
567,Christopher Ricks,The Oxford Book Of English Verse
568,Doris Kearns Goodwin,Team Of Rivals: The Political Genius Of Abraham Lincoln
569,Robert Burns,The Complete Works Of Robert Burns
570,Anton Chekhov,The Complete Plays Of Anton Chekhov
571,W. Somerset Maugham,A Volume Of Somerset Maugham's Short Stories
572,Lars Svensson,A Collins Bird Book
573,Nigel Norman,Book His Father: Verses 1911 - 1943 By
574,Evelyn Waugh,Scoop
575,Kurt Vonnegut,Breakfast Of Champions
576,Roy Fisher,The Long And The Short Of It: Poems 1955-2005
577,Confucius,The Analects Of Confucius
578,Naguib Mahfouz,The Cairo Trilogy
579,Robert Tressell,The Ragged Trousered Philanthropists
580,Lawrence James,The Rise And Fall Of The British Empire
581,Edward Bulwer-lytton,Zanoni
582,P G Wodehouse,The Complete Works
583,"",Matchbook
584,"",The Book Of Alcoholics Anonymous
585,"",Book Of Poems
586,"",Teach Yourself French
587,George Mikes,How To Be An Alien
588,Dylan Thomas,Collected Works
589,Charles Darwin,The Voyage Of The Beagle
590,Ken Follet,The Pillars Of The Earth
591,Dave Pelz,Short Game Of Golf
592,Sir Roger Penrose,The Road To Reality
593,Jonathan Harvey,Beautiful Thing
594,Robert Louis Stevenson,Treasure Island
595,Don Delillo,Libra
596,Sir George Grove,Operatic Dictionary Of Music
597,Ayn Rand,The Fountainhead
598,Benny Green,Such Sweet Thunder: Benny Green On Jazz
599,Dorothy Parker,The Penguin Dorothy Parker
600,Wisden,The Collected Cricketers' Almanac
601,"",Photo Album Of Family Friends
602,Charles Chilton,Journey Into Space
603,Richmal Crompton,Audiobook Of Martin Jarvis Reading Just William
604,Laurence Sterne,The Life And Opinions Of Tristram Shandy
605,Bear Grylls,Man Vs Wild - Survival Techniques From The Most Dangerous Places On Earth
606,Victor Hugo,The Works
607,Sybille Bedford,A Legacy
608,Evelyn Waugh,Decline And Fall
609,Dionysius Lardner,The Cabinet Cyclopedia
610,"",The Reader's Digest Complete Do It Yourself Manual
611,Patrick O'brien,Post Captain In The Aubrey/maturin Series
612,John Hayward,The Faber Book Of English Verse
613,Brian Keenan,An Evil Cradling
614,"",The Melbourne Street Directory
615,Max Beerbohm,The Collected Works
616,Ck Scott Moncrieff (transl.),Remembrance Of Things Past (proust)
617,David Diop,Coups De Pilon
618,Suzanna Clarke,Jonathan Strange And Mr Norrell
619,George Bernard Shaw,The Plays
620,Brigitte Lardinois,Magnum Magnum
621,Nelson Mandela,Long Walk To Freedom
622,"",The Air Publication 1234 (raf Manual)
623,Hilaire Belloc,Cautionary Tales
624,James Lawton,Collected Writings
625,"",Decent Translation Of The Koran
626,Hermann Hesse,The Glass Bead Game
627,Peter Ackroyd,Blake
628,Iain Banks,The Complete Works
629,Alice Munro,Selected Stories
630,Dante Alighieri,The Divine Comedy (with Translation)
631,Douglas Adams,The Hitchhiker's Guide To The Galaxy
632,Robert Musil,The Man Without Qualities
633,"",Teach Yourself Piano Tuning
634,Philip Pullman,His Dark Materials Trilogy
635,Jonathan Lynn,"Yes, Minister"
636,W G Sebald,Austerlitz
637,W. Somerset Maugham,The Collected Works
638,Anne Frank,The Diary Of Anne Frank
639,John Steinbeck,The Collected Works
640,Marcel Proust,The Collected Works
641,Neil Gaiman,The Sandman Series
642,Michel De Montaigne,Collected Essays
643,"",Largest Anthology Of Poetry Possible
644,"",A Parallel Text Of The Bhagvad Gita
645,Miguel De Cervantes,Don Quixote
646,"",Biggest Poetry Anthology Possible
647,Colin Macinnes,Absolute Beginners
648,George Macdonald Fraser,Complete Books Of Flashman
649,Anthony Trollope,The Collected Works
650,Cole Porter,The Cole Porter Songbook
651,Ivan Turgenev,First Love
652,John Wain,Oxford Anthology Of English Poetry
653,Nelson Mandela,A Long Walk To Freedom
654,"",Handbook On Tropical Vegetation
655,Samuel Pepys,Diaries
656,Doris Lessing,Any Book Of Short Stories
657,Aleksandr Pushkin,Complete Works
658,Charles Dickens,Great Expectations
659,George Bernard Shaw,Collected Plays
660,Philip Larkin,Oxford Book Of Twentieth-century English Verse
661,"",Huge Book Of English Poetry
662,"",Book On Medieval History
663,"",A Coffee Table Book Of Art
664,Francis Child,Collection Of Popular Songs Of England Scotland
665,J. Pelling,Lessons In Ndebele
666,Dennis Genpo Merzel,The Path Of The Human Being
667,Dylan Thomas,Complete Works
668,Bertrand Russell,The History Of Western Philosophy
669,Martin Heidegger,Being And Time
670,Ryszard Kapuscinski,The Collected Works
671,"",1972 Social Registry Of New York
672,Adam Smith,Wealth Of Nations
673,"",An Art Book On Gothic And Renaissance Altar Pieces
674,Arthur Miller,Complete Works
675,Honore De Balzac,The Human Comedy
676,John Halpern,Biography Of John Osborne
677,Dr Samuel Johnson,Rasselas
678,"",A Large French Dictionary
679,Michelin,The Michelin Guide To France
680,"",Unabridged Collins/robert/ English /french Dictionary
681,Douglas Adams,The Deeper Meaning Of Liff
682,W H Auden,Collected Poetry
683,Paul Brickhill,Reach For The Sky: The Story Of Douglas Bader
684,James Thurber,Collected Works
685,Harold Mcgee,On Food And Cooking: The Science And Lore Of The Kitchen
686,Thomas Mallory,Le Mort D'arthur
687,Mervyn Peake,Captain Slaughterboard Drops Anchor
688,Jackie Collins,Hollywood Wives
689,Carl Sandburg,The Complete Poems
690,Henry Vaughan,Collected Poems Of Henry Vaughan
691,Lord A P Wavell,Other Men's Flowers: An Anthology Of Poetry
692,"",Family Photograph Albums
693,"",A Book About Learning To Paint
694,H G Wells,Complete Short Stories
695,Hugh Fearnley-whittingstall,The River Cottage Cookbook
696,Niall Ferguson,How Britain Made The Modern World
697,Benedict Spinoza,Ethics
698,"",The Joy Of Cooking
699,"",Oxford Latin Dictionary
700,Giorgos Seferis,Bilingual Edition Of Poetry
701,Clifford Ashley,Ashley Books Of Knots
