520;"Fougasse";"Drawings"
521;"Kenneth Grahame";"The Wind In The Willows"
522;"Jean Racine";"Plays"
523;"James Frazer";"The Golden Bough"
524;;"Her Husband's Handwritten Limericks"
525;"Johann Wolfgang Goethe";"A Philosophical Work"
526;;"French Cookery Book"
527;"W. Somerset Maugham";"A Novel"
528;"Eartha Kitt";"Autobiography"
529;;"Large Book Of Short Stories"
530;"Talbot Baines";"Fifth Form Of St Dominic's"
531;;"Bible"
532;"Gustave Flaubert";"Madam Bovary"
533;;"Mediterranean Cookbook"
535;"Thomas A Kempis";"Imitation Of Christ"
536;"Kurt Vonnegut";"Slaughterhouse-five"
537;"Jack Kerouac";"On The Road"
538;"Sholem Aleichem";"Complete Works"
539;"Emile Zola";"Germinal"
540;"Pauline Prescott";"Smile Though Your Heart Is Breaking"
541;;"A Guide To Learning The Piano"
542;"W B Lord";"Shifts And Expedients Of Camp Life"
543;"William Barry Lord";"Shifts And Expedients Of Camp Life"
544;;"Tang Shi Sanbai Shou (three Hundred Tang Poems)"
545;;"A Big Atlas"
546;"P G Wodehouse";"The Collected Works"
547;"P G Wodehouse";"His Favourite Book"
548;"John David Jackson";"Classical Electrodynamics"
549;"Anthony Trollope";"The Complete Works"
550;;"The Talmud"
551;"Robert Hardy Matthew Strickland";"The Great Warbow"
552;;"French Dictionary"
553;"Wole Soyinka";"The Complete Works"
554;"Sir Arthur Conan Doyle";"Complete Sherlock Holmes"
555;;"The Biggest Possible Encyclopedia"
556;;"Thesaurus"
557;;"A Photographic Album With Pictures Of His Family"
558;"Spike Milligan";"Puckoon"
559;"S J Perelman";"The Most Of S.j.perelman"
560;"Woody Allen";"The Complete Prose Woody Allen By"
561;"Saki";"The Complete Works"
562;;"A Tropical Recipe Book"
563;"Cormac Mccarthy";"All The Pretty Horses"
564;"August Wilson";"The Complete Works Of August Wilson"
565;"Andy Ripley";"Ripley's World"
566;"Christopher Ricks";"The Oxford Book Of English Verse"
567;"Doris Kearns Goodwin";"Team Of Rivals: The Political Genius Of Abraham Lincoln"
568;"Robert Burns";"The Complete Works"
569;"Anton Chekhov";"The Complete Plays"
570;"W. Somerset Maugham";"A Volume Of Somerset Maugham's Short Stories"
571;"Lars Svensson";"A Collins Bird Book"
572;"Nigel Norman";"Book His Father: Verses 1911 - 1943 By"
573;"Evelyn Waugh";"Scoop"
574;"Kurt Vonnegut";"Breakfast Of Champions"
575;"Roy Fisher";"The Long And The Short Of It: Poems 1955-2005"
576;"Confucius";"The Analects Of Confucius"
577;"Naguib Mahfouz";"The Cairo Trilogy"
578;"Robert Tressell";"The Ragged Trousered Philanthropists"
579;"Lawrence James";"The Rise And Fall Of The British Empire"
580;"Edward Bulwer-lytton";"Zanoni"
581;"P G Wodehouse";"The Complete Works"
582;;"Matchbook"
583;;"The Book Of Alcoholics Anonymous"
584;;"Book Of Poems"
585;;"Teach Yourself French"
586;"George Mikes";"How To Be An Alien"
587;"Dylan Thomas";"Collected Works"
588;"Charles Darwin";"The Voyage Of The Beagle"
589;"Ken Follet";"The Pillars Of The Earth"
590;"Dave Pelz";"Short Game Of Golf"
591;"Sir Roger Penrose";"The Road To Reality"
592;"Jonathan Harvey";"Beautiful Thing"
593;"Robert Louis Stevenson";"Treasure Island"
594;"Don Delillo";"Libra"
595;"Sir George Grove";"Operatic Dictionary Of Music"
596;"Ayn Rand";"The Fountainhead"
597;"Benny Green";"Such Sweet Thunder: Benny Green On Jazz"
598;"Dorothy Parker";"The Penguin Dorothy Parker"
599;"Wisden";"The Collected Cricketers' Almanac"
600;;"Photo Album Of Family Friends"
601;"Charles Chilton";"Journey Into Space"
602;"Richmal Crompton";"Audiobook Of Martin Jarvis Reading Just William"
603;"Laurence Sterne";"The Life And Opinions Of Tristram Shandy"
604;"Bear Grylls";"Man Vs Wild - Survival Techniques From The Most Dangerous Places On Earth"
605;"Victor Hugo";"The Works"
606;"Sybille Bedford";"A Legacy"
607;"Evelyn Waugh";"Decline And Fall"
608;"Dionysius Lardner";"The Cabinet Cyclopedia"
609;;"The Reader's Digest Complete Do It Yourself Manual"
610;"Patrick O'brien";"Post Captain In The Aubrey/maturin Series"
611;"John Hayward";"The Faber Book Of English Verse"
612;"Brian Keenan";"An Evil Cradling"
613;;"The Melbourne Street Directory"
614;"Max Beerbohm";"The Collected Works"
615;"Ck Scott Moncrieff (transl.)";"Remembrance Of Things Past (proust)"
616;"David Diop";"Coups De Pilon"
617;"Suzanna Clarke";"Jonathan Strange And Mr Norrell"
618;"George Bernard Shaw";"The Plays"
619;"Brigitte Lardinois";"Magnum Magnum"
620;"Nelson Mandela";"Long Walk To Freedom"
621;;"The Air Publication 1234 (raf Manual)"
622;"Hilaire Belloc";"Cautionary Tales"
623;"James Lawton";"Collected Writings"
624;;"Decent Translation Of The Koran"
625;"Hermann Hesse";"The Glass Bead Game"
626;"Peter Ackroyd";"Blake"
627;"Iain Banks";"The Complete Works"
628;"Alice Munro";"Selected Stories"
630;"Douglas Adams";"The Hitchhiker's Guide To The Galaxy"
631;"Robert Musil";"The Man Without Qualities"
632;;"Teach Yourself Piano Tuning"
633;"Philip Pullman";"His Dark Materials Trilogy"
634;"Jonathan Lynn";"Yes, Minister"
635;"W G Sebald";"Austerlitz"
636;"W. Somerset Maugham";"The Collected Works"
637;"Anne Frank";"The Diary Of Anne Frank"
638;"John Steinbeck";"The Collected Works"
639;"Marcel Proust";"The Collected Works"
640;"Neil Gaiman";"The Sandman Series"
641;"Michel De Montaigne";"Collected Essays"
642;;"Largest Anthology Of Poetry Possible"
643;;"A Parallel Text Of The Bhagvad Gita"
644;"Miguel De Cervantes";"Don Quixote"
645;;"Biggest Poetry Anthology Possible"
646;"Colin Macinnes";"Absolute Beginners"
647;"George Macdonald Fraser";"Complete Books Of Flashman"
648;"Anthony Trollope";"The Collected Works"
649;"Cole Porter";"The Cole Porter Songbook"
650;"Ivan Turgenev";"First Love"
651;"John Wain";"Oxford Anthology Of English Poetry"
653;;"Handbook On Tropical Vegetation"
